Machine,Horas_CC,Eventos_CC,%_Individual,Horas_Acumuladas,%_Acumulado
Biscuit Filling Machine,182.5,1980,32.51,182.5,32.51
Biscuit Boxing Machine,87.25,108,15.54,269.75,48.06
Biscuit Forming Machine,67.12,25,11.96,336.87,60.02
Biscuit Heating Machine,63.68,5,11.35,400.55,71.36
Biscuit Sprinkling Machine,60.52,1071,10.78,461.07,82.14
Biscuit Mixing Machine,52.35,106,9.33,513.42,91.47
Biscuit Pressing Machine,39.48,574,7.03,552.9,98.5
Biscuit Jam Machine,4.82,48,0.86,557.72,99.36
Packaging Heat Machine,3.43,93,0.61,561.15,99.97
Biscuit Topping Machine,0.15,11,0.03,561.3,100.0
