Product,Horas_CC,Eventos_CC,%_Individual,Horas_Acum,%_Acumulado
Jammy Creams,180.37,452,32.13,180.37,32.13
Chocolate cookies,80.57,645,14.35,260.94,46.49
Pink Wafers,80.22,38,14.29,341.16,60.78
Bourbon Creams,53.72,684,9.57,394.88,70.35
Custard Creams,44.7,327,7.96,439.58,78.31
Milk Cookies,16.92,182,3.01,456.5,81.33
Almond Biscotti,16.75,99,2.98,473.25,84.31
Party Rings,15.48,232,2.76,488.73,87.07
Peanut Cookies,13.32,376,2.37,502.05,89.44
Caramel Swirls,10.52,118,1.87,512.57,91.32
Orange Creams,10.25,63,1.83,522.82,93.14
Hazelnut Wafers,9.53,223,1.7,532.35,94.84
Chocolate Digestives,7.7,201,1.37,540.05,96.21
Fruit and Nut,5.98,93,1.07,546.03,97.28
Vienesse Creams,4.78,71,0.85,550.81,98.13
Deluxe Cookies,4.58,90,0.82,555.39,98.95
Coco Rings,3.1,47,0.55,558.49,99.5
Digestives,2.82,80,0.5,561.31,100.0
